Statement,Accessibilty,Accuracy,Customizability,Legal,Maintainability,Performance,Safety,Security,Trust,Usability,Other
"We may use the personal data we collect to investigate or address claims or disputes relating to use of the Platform or Services, or as otherwise allowed by applicable law, or as requested by regulators, government entities and official inquiries.",0,0,0,1,0,0,0,0,0,0,0
"We may use the personal data we collect to investigate or address claims or disputes relating to use of Uber’s services, or as otherwise allowed by applicable law, or as requested by regulators, government entities, and official inquiries",0,0,0,1,0,0,0,0,0,0,0
"We may use the personal data we collect to investigate or address claims or disputes relating to use of Uber’s services, or as otherwise allowed by applicable law, or as requested by regulators, government entities, and official inquiries",0,0,0,1,0,0,0,0,0,0,0
We may use traffic log cookies to identify which pages are being used. This helps us analyze data about web page traffic and improve our website in order to tailor it to customer needs.,0,0,0,0,0,1,0,0,0,0,0
We may use your information to prevent and deter fraud or misuse of our products and services as required by law.,0,0,0,0,0,0,0,1,0,0,0
"We may use your Personal Information when you participate in marketing surveys, questionnaires, promotions, testimonials, online comments, product feedback, events or contests.",0,0,0,0,0,0,0,0,0,0,1
"We monitor the location of all cars to provide our Service, to prevent theft, and to allow us to locate you in case of accident, emergency, lock-out, etc.",0,0,0,0,0,0,1,0,0,0,0
We only collect and use personal data where we have lawful grounds to do so,0,0,0,1,0,0,0,0,0,0,0
We only collect and use personal data where we have lawful grounds to do so,0,0,0,1,0,0,0,0,0,0,0
"we process your Personal Information to pay our taxes, to fulfill our business obligations, ensure compliance with employment and recruitment laws or as necessary to manage risk as required under applicable law",0,0,0,1,0,0,0,0,0,0,0
"We seek to protect your Personal Data from unauthorized access,",0,0,0,0,0,0,0,1,0,0,0
"We share information, including Identity Information, with entities that process information on our behalf for our business purposes",0,0,0,0,0,0,0,0,0,0,1
We share personal information to help facilitate interactions between Users,0,0,0,0,0,0,0,0,0,1,0
"We share personal information to law enforcement agencies, public authorities or other parties in order to respond to a subpoena or court order, judicial process or to regulatory authorities, if we believe we are required to do so by law, or that doing so is reasonably necessary to comply with legal processes; ",0,0,0,1,0,0,0,0,0,0,0
"We share personal information with payment processors, fraud detection agencies and similar third parties for the purpose of facilitating payments done via the Site and securing the Site and protecting it against fraud",0,0,0,0,0,0,0,1,0,0,0
"We share your telephone number, call data, device id and other Handy account and device information with Sendbird, as described in Section I(e), above, to help facilitate communication using the App.",0,0,0,0,0,0,0,0,0,1,0
"We take great care in maintaining the security of the Site and your information and in preventing unauthorized access, loss, misuse, alteration, destruction or damage to it through industry standard technologies and internal procedures",0,0,0,0,0,0,0,1,0,0,0
We take steps to ensure that your information is treated securely,0,0,0,0,0,0,0,1,0,0,0
"We use a variety of physical, technical, and administrative security measures that help to safeguard your information from loss, misuse, unauthorized access, disclosure, alteration, destruction or theft,",0,0,0,0,0,0,0,1,0,0,0
we use an address to allow the Dasher to fulfill your delivery,0,0,0,0,0,0,0,0,0,0,1
We use appropriate business systems and procedures to protect and safeguard the personal data you give us,0,0,0,0,0,0,0,1,0,0,0
"We use cookies and other tracking technologies to (a) inform, optimize, and serve marketing content based on past visits to our websites and other sites",0,0,1,0,0,0,0,0,0,0,0
"We use cookies and other tracking technologies to help us understand how the Platform is being used, generally improve your browsing experience, let you navigate between pages efficiently",0,0,0,0,0,1,0,0,0,0,0
We use cookies and other tracking technologies to remember your preferences,0,0,1,0,0,0,0,0,0,0,0
We Use Cookies to collect information about your activities over time and across third party websites or other online services in order to deliver content and advertising tailored to your interests,0,0,1,0,0,0,0,0,0,0,0
We Use Cookies to improve our Services,0,0,0,0,0,1,0,0,0,0,0
We Use Cookies to provide a secure browsing experience during your use of our Services,0,0,0,0,0,0,0,1,0,0,0
"We Use Cookies to recognize you when you return to DoorDash and to remember information you have already provided, such as items already in your order cart",0,0,0,0,0,0,0,0,0,1,0
we use credit card information to complete a transaction,0,0,0,0,0,0,0,0,0,1,0
we use data for testing and troubleshooting purposes,0,0,0,0,1,0,0,0,0,0,0
"we use data from drivers’ devices to help identify unsafe driving behavior such as speeding or harsh braking and acceleration, and to inform them of safer driving practices",0,0,0,0,0,0,1,0,0,0,0
"we use data from drivers’ devices to help identify unsafe driving behavior such as speeding or harsh braking and acceleration, and to inform them of safer driving practices",0,0,0,0,0,0,1,0,0,0,0
"We use data in relation to bookings in order to create internal reports using Google Analytics regarding how our business is operating, such as determining how what we spend on advertising affects the number of bookings that are made",0,0,0,0,0,0,0,0,0,0,1
"We use device, location, profile, usage, and other data to prevent, detect, and combat fraud or unsafe activities",0,0,0,0,0,0,1,0,0,0,0
"We use device, location, profile, usage, and other data to prevent, detect, and combat fraud or unsafe activities",0,0,0,0,0,0,1,0,0,0,0
We use Financial Information in order to operate the TaskRabbit Platform and to ensure that Taskers are paid by Clients.,0,1,0,0,0,0,0,0,0,0,0
We use Google Maps API for displaying interactive maps directly on our website and to enable the simplified use of map functionality. Your IP address is transmitted and stored on one of Google’s servers in the US for the usage of Google Maps functionality,0,0,0,0,0,0,0,0,0,1,0
we use GPS technology (or other similar technology) to determine your current location in order to determine the city you are located in and display a relevant location map,0,0,1,0,0,0,0,0,0,0,0
we use information about your searches to customize the newsletter articles and promotional emails we send you. The goal is to send you advertising that is oriented towards your actual needs and to avoid sending unnecessary advertising.,0,0,1,0,0,0,0,0,0,0,0
we use the information collected from you to verify your identity.,0,0,0,0,0,0,0,1,0,0,0
We use this contact and profile information to:  fulfill your order,0,0,0,0,0,0,0,0,0,0,1
We use this contact and profile information to:  send you marketing communications in accordance with your preferences,0,0,1,0,0,0,0,0,0,0,0
"We use this contact and profile information to: communicate with you directly about the Services as well as about any questions, issues or concerns you or other users may have",0,0,0,0,0,0,0,0,0,1,0
we use your information to track and prevent fraudulent activities and other inappropriate activities,0,0,0,0,0,0,0,1,0,0,0
"We use your personal data in order to process bookings with properties and tour/experience providers and aggregators, and to let you manage your bookings through the HW Platform.",0,0,0,0,0,0,0,0,0,1,0
we use your personal data to complete and administer your online Trip Reservation,0,0,0,0,0,0,0,0,0,0,1
"We use your personal information as we believe necessary or appropriate to comply with applicable laws, lawful requests",0,0,0,1,0,0,0,0,0,0,0
We use your personal information to send you direct marketing communications about our products,0,0,0,0,0,0,0,0,0,1,0
"We use, store, and process your information to provide and improve our services",0,0,0,0,0,1,0,0,0,0,0
we utilize persistent cookies to save your login information for future logins to the Services.,0,0,0,0,0,0,0,0,0,1,0
"we utilize session ID cookies to enable certain features of the Services, to better understand how you interact with the Services and to monitor aggregate usage by Outdoorsy Users and web traffic routing on the Services",0,0,0,0,0,1,0,0,0,0,0
"We will also share the address of the vehicle and, if applicable, the proposed delivery location with the other party",0,1,0,0,0,0,0,0,0,0,0
We will also use your personal data in order to provide payment for a booking for your boat rental or water experience business offering.,0,0,0,0,0,0,0,0,0,1,0
We will make such disclosure to the extent we are required or permitted to do so by applicable law,0,0,0,1,0,0,0,0,0,0,0
We will provide the address of the vehicle and/or the proposed delivery location.,0,1,0,0,0,0,0,0,0,0,0
"We will use data about you and your listing to help others find your listing, and sometimes to promote your listing and our Services.",0,0,0,0,0,0,0,0,0,0,1
We will use the data from your address book only to process your referral.,0,0,0,0,0,0,0,0,0,0,1
we will use your data in order to fix any bugs that we find,0,0,0,0,1,0,0,0,0,0,0
We require our personnel to protect your personal information and keep it confidential.,0,0,0,0,0,0,0,0,1,0,0
"Web beacons help us better manage content on the Handy Platform by informing us what content is effective, monitoring how users navigate the Handy Platform, counting users of the Handy Platform, ",0,0,0,0,0,1,0,0,0,0,0
"web beacons:  in order to track and measure the performance of our Site and Services, monitor how many web visitors we have, and to monitor the effectiveness of our advertising",0,0,0,0,0,1,0,0,0,0,0
"When a booking is confirmed, additional information is shared to assist with coordinating the trip, like profile photo and phone number.",0,0,0,0,0,0,0,0,0,1,0
"When a booking request is made or dispute is submitted, certain information may be shared between Guest(s) and Host(s), including profile, name, names of any additional Guests, cancellation history, review information, age of guest (unless prohibited by applicable law), dispute outcome (when applicable) and other information you choose to share and submit",0,0,0,0,0,0,0,0,0,0,1
"When a customer confirms a booking with you, we will provide your contact information to them to facilitate communication outside our platform as desired or necessary",0,0,0,0,0,0,0,0,0,1,0
"When a Driver requests to book a vehicle, the Driver’s information is passed through to the Owner of the vehicle. We may also disclose parts of the public profile of the Driver and Owner; other User reviews of the Driver and Owner; and any additional information shared with other Users",0,0,0,0,0,0,1,0,0,0,0
"When a Member requests a Ride, we may share your first name and last initial and location with a Driver Partner in order to provide the Service",0,1,0,0,0,0,0,0,0,0,0
"When Couriers are offered delivery opportunities, they may be able to see the Customer’s delivery location. Couriers may see the Customer’s first name and last initial, and the Customer’s delivery address and/or real-time location",0,1,0,0,0,0,0,0,0,0,0
"When you as a Host have a confirmed booking, certain information is shared with the Guest (and the additional Guests they invite, if applicable) to coordinate the booking, such as your profile, full name, phone number, and Listing address.",0,0,0,0,0,0,0,0,0,1,0
"When you buy alcohol using the Services, we may be required by law to share certain information with the retailer who makes the sale. This information could include, among other things, the names and addresses of the purchaser and recipient, government issued ID information, the quantity, brand, price, proof, and volume of alcohol purchased, and a recipient signature",0,0,0,1,0,0,0,0,0,0,0
"When you engage in a transaction with us, we create records of goods or services purchased or considered, as well as purchasing or consuming histories or tendencies in order to measure the effectiveness of our Services",0,0,0,0,0,1,0,0,0,0,0
"When you send us a query in relation to a booking, or if you have a complaint in relation to a property or tour/experience, we will process your personal data in order to answer your query or in order to help resolve your complaint",0,0,0,0,0,0,0,0,0,1,0
"With your consent, to contact you by telephone or text message regarding Platform features, improvements, or other products and services that may interest you",0,0,1,0,0,0,0,0,0,0,0
"With your consent, to contact you by text message regarding certain services or information you have requested;",0,0,0,0,0,0,0,0,0,1,0
You  have rights to obtain a copy of your personal information together with information about how and on what basis that personal information is processed,0,0,0,1,0,0,0,0,0,0,0
You  have rights to to erase your personal information in limited circumstances,0,0,0,1,0,0,0,0,0,0,0
you also consent to DoorDash sending your public profile image to the contacts you select to receive a referral link.,0,0,0,0,0,0,0,0,0,0,1
"You can access or delete your personal data. You have choices about how your data is collected, used and shared.",0,0,0,1,0,0,0,0,0,0,0
You can ask us for a copy of the personal data we hold about you,0,0,0,1,0,0,0,0,0,0,0
you have the right to request a copy of your personal data that we hold and to request that we correct any errors in the personal data that we hold. ,0,0,0,1,0,0,0,0,0,0,0
You have the right to request information about the categories of Personal Information we have collected about you,0,0,0,1,0,0,0,0,0,0,0
You have the right to request that we delete Personal Information that we have collected from you. ,0,0,0,1,0,0,0,0,0,0,0
You have the right to request that we delete the personal information we have collected from you,0,0,0,1,0,0,0,0,0,0,0
You may request that we delete personal information that we have collected from or about you,0,0,0,1,0,0,0,0,0,0,0
"You may request, up to two times each year, that we disclose to you the categories and specific pieces of personal information that we have collected about you",0,0,0,1,0,0,0,0,0,0,0
your driver's license information to confirm license validity,0,0,0,0,0,0,1,0,0,0,0
your friend's name and email address: We store this information only to send this one-time email and to track the success of our referral program,0,1,0,0,0,0,0,0,0,0,0
your photograph to facilitate identification,0,0,0,0,0,0,0,1,0,0,0
"Your public listing page on the Services will always include some basic information, such as your user ID or name associated with your account, your public profile photo, and for hosts, the city where your car is located, your listing description, your calendar availability, transaction related information to allow our community to evaluate your reliability and responsiveness, and reviews or feedback about you",0,0,0,0,0,0,0,0,1,0,0
